YEAR	JUN	JUL	AUG	SEP	JUN-SEP	
1901	109.1	241.4	284.2	121.9	756.6	
1902	104	283.7	202.6	201.9	792.1	
1903	114.8	293	279.6	204.4	891.9	
1904	158.8	266.4	210.4	129.6	765.2	
1905	88.7	252.5	202.6	174.6	718.5	
1906	176.9	285.8	259.8	179.8	902.3	
1907	150.1	223.5	311.6	95.1	780.3	
1908	125.4	331.5	317	153.8	927.7	
1909	205	318.1	239.9	164.9	927.9	
1910	208	248.1	296.9	187.2	940.2	
1911	189.5	158.5	212.5	183.1	743.5	
1912	104.9	337.6	267.7	119.6	829.8	
1913	214.4	272	189.8	108	784.3	
1914	158.2	358.9	246.2	201	964.3	
1915	155	231.5	233	175.2	794.7	
1916	233.8	301.5	318.8	202	1056.1	
1917	218.1	279.3	300.7	283.1	1124.2	
1918	206.3	180.4	240.7	109.1	736.5	
1919	192.7	323.7	299.8	163.2	979.5	
1920	166.3	302.3	190.8	122.2	781.6	
1921	190.6	305.6	281.2	209.1	986.4	
1922	201.2	326.1	225.6	204.6	957.5	
1923	100.7	343.5	277.8	178.9	901	
1924	133.8	334.2	266.4	238.3	972.8	
1925	210.4	313.6	240.4	141.5	905.9	
1926	97.2	327.8	348	210.7	983.7	
1927	174.9	354.4	266.7	174.8	970.7	
1928	178.7	318.5	234.5	144.4	876	
1929	192.5	296.3	246.8	129	864.6	
1930	183.9	307.2	208.5	176.8	876.4	
1931	129.1	319.2	318.9	195.1	962.3	
1932	136.8	337.6	238.1	187.2	899.7	
1933	220.8	293.8	328.2	218.2	1061	
1934	213.9	292.5	305.5	168.3	980.3	
1935	155.9	324.3	251.3	188	919.5	
1936	252.1	300.6	243.8	197.4	993.9	
1937	164.3	346.2	216.5	176	903.1	
1938	277.2	311	253.6	163.1	1005	
1939	167.6	286	248.5	158.4	860.5	
1940	178.6	317.1	285.8	123.6	905	
1941	166.9	251.4	241	154.2	813.5	
1942	187.4	356.6	303.3	193.2	1040.5	
1943	164.3	324.3	246.6	217.9	953.1	
1944	151.7	362.9	292.8	151.2	958.7	
1945	156.3	333.9	244.3	215.2	949.7	
1946	211.3	323	305.4	143.7	983.4	
1947	127.1	310.2	294.5	243.7	975.5	
1948	162.1	346	295.1	174.1	977.2	
1949	155.2	320.7	241.1	223.9	940.8	
1950	133.3	337.9	245.2	206.8	923.2	
1951	152.6	248.4	227.6	120.6	749.2	
1952	167.8	286.5	262.1	111.4	827.8	
1953	167.7	336.2	302.7	176.8	983.4	
1954	140.3	294.4	232.7	247.1	914.4	
1955	171.9	249.9	317.2	223	962	
1956	200.9	354.7	262.6	169.6	987.8	
1957	142.2	289.9	283.7	130.7	898.1	
1958	123.7	326.1	328.7	234.5	1012.9	
1959	168.4	374.3	263.3	230.7	1036.7	
1960	157.8	322.2	266.5	183.6	930	
1961	193.5	345.9	295.7	243.1	1078.2	
1962	131.2	281.4	270.2	210.8	893.6	
1963	155.6	264.5	328.2	163.9	912.2	
1964	179.8	358.3	288.4	205	1031.4	
1965	114.9	282.6	205.4	135.4	738.3	
1966	172.2	251.3	211.9	144.3	779.8	
1967	142.6	308	266.6	166.9	884.1	
1968	148.4	306.7	207.9	128.6	791.6	
1969	128.4	314	271.2	174.7	888.3	
1970	212.1	253.6	319.3	213.7	998.7	
1971	240.6	278.4	256.7	149.8	885.7	
1972	127.4	215.6	218.1	136.3	697.4	
1973	163.8	283.9	314.9	193.4	956.1	
1974	128.3	289.1	239.4	142	798.8	
1975	173.8	314.4	296.6	226.7	1011.4	
1976	155.4	285.3	319.5	141.3	901.5	
1977	186.4	325.4	249.6	149.9	911.3	
1978	218.1	298.8	279.8	168.6	965.2	
1979	132.4	264.2	199.3	128.9	724.8	
1980	219.8	293.3	256.8	142.2	912.1	
1981	165.8	309.8	228.2	183.3	887.1	
1982	134.5	234.9	267.7	130.3	767.4	
1983	152.2	285.5	309.5	254.2	1001.5	
1984	178.9	285.3	235.8	159.8	859.8	
1985	157.3	281.9	239.1	154.2	832.5	
1986	174.1	251.3	218.9	125.5	769.9	
1987	133.8	234.1	264.3	142.4	774.6	
1988	165.8	381.6	325.1	221.5	1094.1	
1989	194.7	318.6	235.7	171	920	
1990	191.7	280.4	294.5	205.8	972.3	
1991	181	276.2	247.2	123.9	828.3	
1992	126.3	243.1	289.1	173.2	831.7	
1993	172.4	294.9	198.8	239.6	905.7	
1994	208.8	355.9	289.8	146.7	1001.2	
1995	135.1	313	259.8	192.4	900.3	
1996	184.8	286.6	308.5	155.2	935.1	
1997	180.2	296.6	282.4	168.1	927.3	
1998	167.8	296.5	261.4	217.3	943.1	
1999	175.2	273.5	223.7	190.8	863.1	
2000	190.4	273.6	229.7	139.9	833.7	
2001	219	279.5	209.2	114.2	821.9	
2002	180.1	146.2	259.8	151.2	737.3	
2003	179.9	317.8	252.3	169.5	919.5	
2004	158.7	242.1	248.7	124.6	774.2	
2005	143.2	334.1	190.1	206.9	874.3	
2006	141.8	287.6	281.3	178.6	889.3	
2007	192.5	286.2	257.4	206.8	943	
2008	202	244.9	265.8	165.1	877.7	
2009	85.7	280.6	192.5	139.4	698.2	
2010	138.1	300.7	274.7	197.7	911.1	
2011	183.5	246	284.9	186.9	901.3	
2012	117.8	250.2	262.4	193.5	823.9	
2013	219.8	310.1	254.7	152.7	937.2	
2014	95.2	261.1	237.4	187.9	781.7	
2015	189.7	241.7	204.2	131.6	760.7	
2016	147.6	309.2	239.6	168.0	864.4	
2017	172.5	290.5	229.6	153.3	845.9	
2018	155.7	274.1	240.2	132.7	804.1	
